N,P,K,ph,rainfall,temperature,crop,yield
124.90802376947249,37.55448641942095,87.25534732400573,6.498680974916214,597.4987332424778,12.586383499725105,rice,3.510441393982932
240.14286128198324,43.1404961562515,79.92417732165259,7.486987090050377,188.38399669903367,11.70110442846456,wheat,3.3547739042457505
196.398788362281,69.81831752415262,51.70770425051481,6.750667122625332,309.9797707774146,26.917374620822592,maize,4.09835504181347
169.73169683940733,33.80030702419245,129.30800061826784,4.833210332447186,547.4604776433637,37.051257029797135,cotton,1.9048030880568514
81.20372808848731,70.875477936852,105.7923488915532,5.242320947134221,411.56700839335997,24.07619665073227,cotton,1.6429695116348269
81.19890406724053,16.169410168368405,175.82617861832065,5.3773127361236766,603.9282789761704,11.442426326300543,cotton,2.091778289432586
61.61672243363989,64.37589060460415,25.779724486770483,5.531457014579379,770.9059259171448,16.19412237016877,rice,3.0967975016622704
223.23522915498702,69.32833431383155,135.89622695992273,6.7616135678020175,137.4100157863981,16.85420137964158,wheat,3.312728736650756
170.22300234864176,22.72723569861371,157.33079813208101,6.515863119301574,582.1757872985457,19.459999615834597,rice,4.174961544366449
191.6145155592091,40.12425726605403,156.70758245389527,5.312640153456836,222.75811672408588,11.220894740413954,wheat,3.088993896153261
54.116898859160486,21.584984226455894,179.49331407719453,4.770219373822748,360.85754555567695,35.33699561394165,cotton,2.086823890824544
243.98197043239887,59.46228902959524,151.22607370930893,5.185728817898872,74.64704434635487,24.435790452201868,cotton,1.713007921525848
216.48852816008434,47.474343764315975,187.00581109658535,8.437525250474414,151.9305367195242,28.786062202715055,maize,3.2123629363437307
92.46782213565524,54.47263426958247,79.87818796776045,6.374187799165889,289.8329667866748,11.88083943306025,wheat,3.0640040051210224
86.36499344142013,23.75408768693478,110.57769501527775,7.969382018808449,306.4893539659887,11.515233098502183,maize,3.1047843646432267
86.68090197068676,24.82221034366937,22.534339390920323,7.895009866675373,724.6889123465718,26.421097617135324,rice,3.6635831115303725
110.84844859190754,12.904812785693446,21.25236571459242,6.546078229851495,606.3596819498863,34.844288294117824,rice,4.126317845998747
154.9512863264476,32.54472746370108,63.22279168127358,7.3267508338421745,779.1372261402809,24.797496026867314,rice,3.623169664840751
136.38900372842315,49.18212629335725,38.14529548503535,5.271008041650849,499.30363275143037,34.578936831962,cotton,1.5476146900020755
108.24582803960838,70.05544397981302,66.83804622843564,7.253586819707634,231.28529906848848,32.7077556455467,maize,3.8057941674315785
172.37057894447588,56.68492132210765,51.86779301511153,5.589538317053158,295.7412724412321,12.123906002257781,wheat,2.874654104774267
77.89877213040836,40.4777426379826,25.133604470956683,7.828248387016603,289.8769424689753,15.654809282799317,wheat,2.425588731832678
108.42892970704364,76.71840800758964,183.6747463530889,4.834896532435639,294.8707457474387,28.41589873634959,cotton,1.676345951998282
123.27236865873834,60.34716404030823,21.480163650000474,7.59255469154111,554.7231298338618,22.418038711401163,rice,3.5786319793433043
141.2139968434072,75.1115642003785,152.49478598067537,4.899747626274478,448.10594606781217,18.139594782113775,cotton,1.657306631000775
